network,country,country_code,continent,continent_code,asn,as_name,as_domain,type
2.57.3.0/24,Iran,IR,Asia,AS,AS44090,Enteghal Dadeh Mahan Co. PJSC,mahannet.ir,isp
2.144.0.0/14,Iran,IR,Asia,AS,AS44244,Iran Cell Service and Communication Company,mtnirancell.ir,isp
2.176.0.0/15,Iran,IR,Asia,AS,AS58224,Iran Telecommunication Company PJS,tci.ir,isp
2.178.0.0/16,Iran,IR,Asia,AS,AS58224,Iran Telecommunication Company PJS,tci.ir,isp
2.179.0.0/19,Iran,IR,Asia,AS,AS58224,Iran Telecommunication Company PJS,tci.ir,isp
2.179.32.0/20,Iran,IR,Asia,AS,AS58224,Iran Telecommunication Company PJS,tci.ir,isp
2.179.48.0/21,Iran,IR,Asia,AS,AS58224,Iran Telecommunication Company PJS,tci.ir,isp
2.179.56.0/22,Iran,IR,Asia,AS,AS12880,Iran Information Technology Company PJSC,tic.ir,business
2.179.60.0/22,Iran,IR,Asia,AS,AS58224,Iran Telecommunication Company PJS,tci.ir,isp
2.179.64.0/18,Iran,IR,Asia,AS,AS58224,Iran Telecommunication Company PJS,tci.ir,isp
2.179.128.0/19,Iran,IR,Asia,AS,AS58224,Iran Telecommunication Company PJS,tci.ir,isp
2.179.160.0/21,Iran,IR,Asia,AS,AS58224,Iran Telecommunication Company PJS,tci.ir,isp
2.179.168.0/24,Iran,IR,Asia,AS,AS12880,Iran Information Technology Company PJSC,tic.ir,business
2.179.169.0/24,Iran,IR,Asia,AS,AS58224,Iran Telecommunication Company PJS,tci.ir,isp
2.179.170.0/23,Iran,IR,Asia,AS,AS58224,Iran Telecommunication Company PJS,tci.ir,isp
2.179.172.0/22,Iran,IR,Asia,AS,AS58224,Iran Telecommunication Company PJS,tci.ir,isp
2.179.176.0/20,Iran,IR,Asia,AS,AS58224,Iran Telecommunication Company PJS,tci.ir,isp
2.179.192.0/18,Iran,IR,Asia,AS,AS58224,Iran Telecommunication Company PJS,tci.ir,isp
2.180.0.0/17,Iran,IR,Asia,AS,AS58224,Iran Telecommunication Company PJS,tci.ir,isp
2.180.128.0/18,Iran,IR,Asia,AS,AS58224,Iran Telecommunication Company PJS,tci.ir,isp
2.180.192.0/19,Iran,IR,Asia,AS,AS58224,Iran Telecommunication Company PJS,tci.ir,isp
2.180.224.0/20,Iran,IR,Asia,AS,AS58224,Iran Telecommunication Company PJS,tci.ir,isp
2.180.240.0/21,Iran,IR,Asia,AS,AS58224,Iran Telecommunication Company PJS,tci.ir,isp
2.180.248.0/22,Iran,IR,Asia,AS,AS58224,Iran Telecommunication Company PJS,tci.ir,isp
2.180.252.0/23,Iran,IR,Asia,AS,AS58224,Iran Telecommunication Company PJS,tci.ir,isp
2.180.254.0/24,Iran,IR,Asia,AS,AS60148,Iran Information Technology Company PJSC,iran.ir,business
2.180.255.0/24,Iran,IR,Asia,AS,AS58224,Iran Telecommunication Company PJS,tci.ir,isp
2.181.0.0/17,Iran,IR,Asia,AS,AS58224,Iran Telecommunication Company PJS,tci.ir,isp
2.181.128.0/19,Iran,IR,Asia,AS,AS58224,Iran Telecommunication Company PJS,tci.ir,isp
2.181.160.0/20,Iran,IR,Asia,AS,AS58224,Iran Telecommunication Company PJS,tci.ir,isp
